
2023/10/24 (14:06:49) | ===> btop++ v.1.2.13
2023/10/24 (14:06:49) | ERROR: Invalid hex value: #1e1e2e

2024/01/13 (10:23:29) | ===> btop++ v.1.3.0
2024/01/13 (10:23:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/15 (15:22:55) | ===> btop++ v.1.3.0
2024/01/15 (15:22:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/21 (20:34:24) | ===> btop++ v.1.3.0
2024/01/21 (20:34:24) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (20:46:55) | ===> btop++ v.1.3.0
2024/01/23 (20:46:55) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/01/24 (20:07:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/09 (07:30:30) | ===> btop++ v.1.3.0
2024/02/09 (07:30:30) | ERROR: Stall in Runner thread, restarting!

2024/02/14 (20:47:44) | ===> btop++ v.1.3.0
2024/02/14 (20:47:44) | ERROR: Stall in Runner thread, restarting!

2024/02/17 (13:53:48) | ===> btop++ v.1.3.0
2024/02/17 (13:53:48) | ERROR: Stall in Runner thread, restarting!

2024/02/18 (07:40:14) | ===> btop++ v.1.3.0
2024/02/18 (07:40:14) | ERROR: Stall in Runner thread, restarting!

2024/02/18 (12:10:45) | ===> btop++ v.1.3.0
2024/02/18 (12:10:45) | ERROR: Stall in Runner thread, restarting!

2024/02/19 (19:16:31) | ===> btop++ v.1.3.2
2024/02/19 (19:16:31) | ERROR: Stall in Runner thread, restarting!

2024/02/20 (12:30:50) | ===> btop++ v.1.3.2
2024/02/20 (12:30:50) | ERROR: Stall in Runner thread, restarting!

2024/02/23 (07:09:49) | ===> btop++ v.1.3.2
2024/02/23 (07:09:49) | ERROR: Stall in Runner thread, restarting!

2024/02/26 (07:36:26) | ===> btop++ v.1.3.2
2024/02/26 (07:36:26) | ERROR: Stall in Runner thread, restarting!

2024/03/02 (14:27:18) | ===> btop++ v.1.3.2
2024/03/02 (14:27:18) | ERROR: Stall in Runner thread, restarting!

2024/03/06 (13:38:04) | ===> btop++ v.1.3.2
2024/03/06 (13:38:04) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/07 (20:17:34) | ===> btop++ v.1.3.2
2024/03/07 (20:17:34) | WARNING: NVML: Failed to get GPU power usage: No data

2024/03/10 (15:29:22) | ===> btop++ v.1.3.2
2024/03/10 (15:29:22) | ERROR: Stall in Runner thread, restarting!

2024/03/13 (07:38:05) | ===> btop++ v.1.3.2
2024/03/13 (07:38:05) | ERROR: Stall in Runner thread, restarting!

2024/03/14 (17:39:15) | ===> btop++ v.1.3.2
2024/03/14 (17:39:15) | ERROR: Stall in Runner thread, restarting!

2024/03/16 (07:22:22) | ===> btop++ v.1.3.2
2024/03/16 (07:22:22) | ERROR: Stall in Runner thread, restarting!

2024/03/17 (09:57:59) | ===> btop++ v.1.3.2
2024/03/17 (09:57:59) | ERROR: Stall in Runner thread, restarting!

2024/03/17 (20:06:54) | ===> btop++ v.1.3.2
2024/03/17 (20:06:54) | ERROR: Stall in Runner thread, restarting!

2024/03/17 (20:06:54) | ===> btop++ v.1.3.2
2024/03/17 (20:06:54) | ERROR: Stall in Runner thread, restarting!

2024/03/18 (07:12:21) | ===> btop++ v.1.3.2
2024/03/18 (07:12:21) | ERROR: Stall in Runner thread, restarting!

2024/03/18 (18:59:35) | ===> btop++ v.1.3.2
2024/03/18 (18:59:35) | ERROR: Stall in Runner thread, restarting!

2024/03/24 (09:48:41) | ===> btop++ v.1.3.2
2024/03/24 (09:48:41) | ERROR: Stall in Runner thread, restarting!

2024/04/11 (18:48:02) | ===> btop++ v.1.3.2
2024/04/11 (18:48:02) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/01 (17:45:06) | ===> btop++ v.1.3.2
2024/05/01 (17:45:06) | ERROR: Stall in Runner thread, restarting!

2024/05/07 (09:47:21) | ===> btop++ v.1.3.2
2024/05/07 (09:47:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/05/08 (16:10:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/05/16 (18:18:53) | ===> btop++ v.1.3.2
2024/05/16 (18:18:53) | ERROR: Stall in Runner thread, restarting!

2024/06/25 (18:13:52) | ===> btop++ v.1.3.2
2024/06/25 (18:13:52) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/07/01 (14:22:09) | ===> btop++ v.1.3.2
2024/07/01 (14:22:09) | ERROR: Stall in Runner thread, restarting!

2024/08/02 (19:42:16) | ===> btop++ v.1.3.2
2024/08/02 (19:42:16) | ERROR: Stall in Runner thread, restarting!
2024/08/02 (19:42:22) | ERROR: Stall in Runner thread, restarting!

2024/08/03 (13:20:31) | ===> btop++ v.1.3.2
2024/08/03 (13:20:31) | ERROR: Stall in Runner thread, restarting!

2024/08/03 (13:25:28) | ===> btop++ v.1.3.2
2024/08/03 (13:25:28) | ERROR: Stall in Runner thread, restarting!

2024/08/03 (13:27:35) | ===> btop++ v.1.3.2
2024/08/03 (13:27:35) | ERROR: Stall in Runner thread, restarting!
2024/08/03 (13:27:41) | ERROR: Stall in Runner thread, restarting!
2024/08/03 (13:27:47) | ERROR: Stall in Runner thread, restarting!

2024/08/05 (19:09:19) | ===> btop++ v.1.3.2
2024/08/05 (19:09:19) | ERROR: Stall in Runner thread, restarting!

